PHR Address,Snapshot 1,Snapshot 2,Snapshot 3,Snapshot 4,Snapshot 5,Snapshot 6
PFDiVQhGMNCX4yVBrRMDKrdonudsQtR1pJ,34283.26450059,34283.26450059,34283.26450059,34283.26450059,34283.26450059,34283.26450059
PXiDvbJTCB8aVsALXrAHQ9EEk8YeCrG6fg,0.00000000,0.00000000,35824.00000000,35824.00000000,65501.32800000,65501.32800000
PWQHyooTjST1piZ7jZHjs96XzmiCBLaSiM,31570.13676651,31868.21676651,32197.61676651,32511.89676651,32716.01676651,32966.57676651
PT5cMAMkiWXVLQ6m5XqnUN83jDY795TJuB,31647.73975488,32013.85975488,32253.61975488,32253.61975488,32253.61975488,32253.61975488
PCw8kQ2pcbx9CY1L5pmzYRy7pmsyhcmtd8,30637.19075438,30955.79075438,31268.99075438,31572.47075438,31785.23075438,32027.15075438
PFrd2QdJnK2ZBfmGFPXTMCE7ZwU1FuURb2,31369.57898730,31369.57898730,31369.57898730,31369.57898730,31369.57898730,31369.57898730
PNrhEYnjJifSZMknbm83ydwdxp9b2kqPb6,30484.23287129,30795.27287129,31137.63287129,31292.07287129,31317.99287129,31501.59287129
PAHkZCCFcquw4wNkYYx2UDFXar5zTc4Dtc,30450.00000000,30450.00000000,30450.00000000,30450.00000000,30450.00000000,30450.00000000
PPSsLdRVNwuisJz1nCLhfchZUTW5cKrDTw,30154.00000000,30237.16000000,30303.04000000,30303.04000000,30303.04000000,30303.04000000
PPEpytzFq3kfQngbwXMFgqFMsYK29cSoYj,30135.64527246,30135.64527246,30135.64527246,30135.64527246,30135.64527246,30135.64527246
P8nhS7F8tU5q3Cgd7EWEVT2D2KQQEDPgUK,29490.50000000,29490.50000000,29490.50000000,29490.50000000,29490.50000000,29490.50000000
PTFpqRaDSRd1QajSh615LzjZ8aS8YCifwB,29140.92946486,29140.92946486,29140.92946486,29140.92946486,29140.92946486,29140.92946486
P9fMRSrhNLiDcGTYWWXXATXp9gtRUi21ss,28186.17988972,28186.17988972,28186.17988972,28186.17988972,28186.17988972,28186.17988972
PSkchdCfEM2kTMnenRfYoJh79yTe5bqNiA,0.00000000,0.00000000,0.00000000,0.00000000,164687.64054361,652.95000000
PHNwtgK2GC1x6onzmrJLjXAmGRJVt8HSH8,75002.16000000,75037.80000000,0.00000000,0.00000000,0.00000000,0.00000000
PHVmk7r172xgiJ8JkWp52qq928h8nmbf9g,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,148727.49000000
PTQGc9L1QmHrJzHRVRmPYfEH4CxzXVrq9Y,0.00000000,0.00000000,0.00000000,0.00000000,147364.53600000,0.00000000
PPzPe8LiReBkbCSJ247FXRrYmHs7qZgWHV,0.00000000,0.00000000,0.00000000,145679.73700000,0.00000000,0.00000000
PPgJT5aYYdsoHEMEDkhAUPGJCdfe1pGg2d,23710.99272397,23979.91272397,24241.27272397,24417.31272397,24502.63272397,24691.63272397
PEPTigj8YrVTvAqKeGQrgxorGQbJkNLjYd,23555.28259124,23814.48259124,24092.04259124,24328.56259124,24481.92259124,24662.28259124
